MGRNO,Inst. Name,CIK,Date,Street 1,Street 2,CITY,State,ZIP,DocumentURL,SeriesName,ClassContract,Mail Address
138,AIM FUNDS GROUP (INVESCO FUNDS GROUP) ,0000019034,2008-08-28,11 GREENWAY PLZ STE 100,,HOUSTON,TX,77046,https://www.sec.gov/Archives/edgar/data/19034/000095012908004687/0000950129-08-004687-index.htm,"S000000211
S000000212
S000000213
S000000214
S000000215
S000000217
S000000218
","C000000466
C000000467
C000000468
C000000469
C000022910
C000029612
C000000470
C000000471
C000000472
C000000473
C000000474
C000000475
C000022912
C000000476
C000000477
C000000478
C000022913
C000000479
C000000480
C000000481
C000000482
C000022914
C000000487
C000000488
C000000489
C000000490
C000000491
C000000492
C000000493
C000022917
",
138,AIM FUNDS GROUP (INVESCO FUNDS GROUP) ,0000019034,2007-08-24,11 GREENWAY PLZ STE 100,,HOUSTON,TX,77046,https://www.sec.gov/Archives/edgar/data/19034/000095012907004271/0000950129-07-004271-index.htm,"S000000211
S000000212
S000000213
S000000214
S000000215
S000000217
S000000218
","C000000466
C000000467
C000000468
C000000469
C000022910
C000029612
C000000470
C000000471
C000000472
C000000473
C000000474
C000000475
C000022912
C000000476
C000000477
C000000478
C000022913
C000000479
C000000480
C000000481
C000000482
C000022914
C000000487
C000000488
C000000489
C000000490
C000000491
C000000492
C000000493
C000022917
",
138,AIM FUNDS GROUP (INVESCO FUNDS GROUP) ,0000019034,2006-08-29,11 GREENWAY PLZ STE 100,,HOUSTON,TX,77046,https://www.sec.gov/Archives/edgar/data/19034/000095012906008218/0000950129-06-008218-index.htm,"S000000206
S000000211
S000000212
S000000213
S000000214
S000000215
S000000216
S000000217
S000000218
","C000000458
C000000459
C000000460
C000000461
C000022909
C000000466
C000000467
C000000468
C000000469
C000022910
C000029612
C000000470
C000000471
C000000472
C000000473
C000000474
C000000475
C000022912
C000000476
C000000477
C000000478
C000022913
C000000479
C000000480
C000000481
C000000482
C000022914
C000000483
C000000484
C000000485
C000000486
C000022915
C000000487
C000000488
C000000489
C000000490
C000000491
C000000492
C000000493
C000022917
",
138,AIM FUNDS GROUP (INVESCO FUNDS GROUP) ,0000019034,2005-08-26,11 GREENWAY PLZ STE 100,,HOUSTON,TX,77046,https://www.sec.gov/Archives/edgar/data/19034/000095012905008707/0000950129-05-008707-index.htm,,,
138,AIM FUNDS GROUP (INVESCO FUNDS GROUP) ,0000019034,2004-09-02,11 GREENWAY PLZ STE 100,,HOUSTON,TX,77046,https://www.sec.gov/Archives/edgar/data/19034/000095012904006774/0000950129-04-006774-index.htm,,,
138,AIM FUNDS GROUP (INVESCO FUNDS GROUP) ,0000019034,2004-08-31,11 GREENWAY PLZ STE 100,,HOUSTON,TX,77046,https://www.sec.gov/Archives/edgar/data/19034/000095012904006659/0000950129-04-006659-index.htm,,,
138,AIM FUNDS GROUP (INVESCO FUNDS GROUP) ,0000019034,2004-08-30,11 GREENWAY PLZ STE 100,,HOUSTON,TX,77046,https://www.sec.gov/Archives/edgar/data/19034/000095012904006582/0000950129-04-006582-index.htm,,,
160,ADELANTE FUNDS ,0001097904,2009-08-12,803 WEST MICHIGAN STREET,SUITE A,MILWAUKEE,WI,53233,https://www.sec.gov/Archives/edgar/data/1097904/000114420409042296/0001144204-09-042296-index.htm,"S000007701
","C000020950
C000020951
",
160,ADELANTE FUNDS ,0001097904,2008-08-12,803 WEST MICHIGAN STREET,SUITE A,MILWAUKEE,WI,53233,https://www.sec.gov/Archives/edgar/data/1097904/000094822108000085/0000948221-08-000085-index.htm,"S000007701
","C000020950
C000020951
",
160,ADELANTE FUNDS ,0001097904,2007-08-14,803 WEST MICHIGAN STREET,SUITE A,MILWAUKEE,WI,53233,https://www.sec.gov/Archives/edgar/data/1097904/000094822107000115/0000948221-07-000115-index.htm,"S000007701
","C000020950
C000020951
",
160,ADELANTE FUNDS ,0001097904,2006-08-14,803 WEST MICHIGAN STREET,SUITE A,MILWAUKEE,WI,53233,https://www.sec.gov/Archives/edgar/data/1097904/000094822106000172/0000948221-06-000172-index.htm,"S000007701
","C000020950
C000020951
",
160,ADELANTE FUNDS ,0001097904,2005-08-17,803 WEST MICHIGAN STREET,SUITE A,MILWAUKEE,WI,53233,https://www.sec.gov/Archives/edgar/data/1097904/000094822105000150/0000948221-05-000150-index.htm,,,
160,ADELANTE FUNDS ,0001097904,2004-11-22,803 WEST MICHIGAN STREET,SUITE A,MILWAUKEE,WI,53233,https://www.sec.gov/Archives/edgar/data/1097904/000094822104000476/0000948221-04-000476-index.htm,,,
160,ADELANTE FUNDS ,0001097904,2004-08-19,803 WEST MICHIGAN STREET,SUITE A,MILWAUKEE,WI,53233,https://www.sec.gov/Archives/edgar/data/1097904/000094822104000313/0000948221-04-000313-index.htm,,,
160,"650 HIGH INCOME FUND,INC. ",0001000401,2010-08-12,650 MADISON AVENUE,19TH FLOOR,NEW YORK,NY,10022,https://www.sec.gov/Archives/edgar/data/1000401/000090873710000307/0000908737-10-000307-index.htm,,,
160,"650 HIGH INCOME FUND,INC. ",0001000401,2009-08-11,THREE WORLD FINANCIAL CENTER,"200 VESEY STREET, 10TH FLOOR",NEW YORK,NY,10281-1010,https://www.sec.gov/Archives/edgar/data/1000401/000119312509171464/0001193125-09-171464-index.htm,,,
160,"650 HIGH INCOME FUND,INC. ",0001000401,2008-08-25,THREE WORLD FINANCIAL CENTER,"200 VESEY STREET, 10TH FLOOR",NEW YORK,NY,10281-1010,https://www.sec.gov/Archives/edgar/data/1000401/000111667908001814/0001116679-08-001814-index.htm,,,
160,"650 HIGH INCOME FUND,INC. ",0001000401,2007-08-30,THREE WORLD FINANCIAL CENTER,"200 VESEY STREET, 10TH FLOOR",NEW YORK,NY,10281-1010,https://www.sec.gov/Archives/edgar/data/1000401/000090873707000314/0000908737-07-000314-index.htm,,,
